song_title,artist_name
tie a yellow ribbon round the ole oak tree,dawn feat  tony orlando
it    s all in the game,tommy edwards
i want to hold your hand,the beatles
shadow dancing,andy gibb
call me maybe,carly rae jepsen
blurred linesrobin thicke feat  t i,pharrell
candle in the wind  97    something about the way you look tonight,elton john
no one,alicia keys
i will always love you,whitney houston
end of the road,boyz ii men
boom boom pow,the black eyed peas
call me,blondie
let me love you,mario
stayin    alive,bee gees
lady,kenny rogers
tik tok,kesha
i    m a believer,the monkees
gold digger,kanye west feat  jamie foxx
apologize,timbaland feat  onerepublic
the sign,ace of base
centerfold,the j  geils band
all about that bass,meghan trainor
just like    starting over,john lennon
royals,lorde
the boy is mine,brandy   monica
because i love you  the postman song,stevie b
i love rock     n rolln,joan jett   the blackhearts
aquarius let the sunshine inthe 5th,dimension
whoomp   there it is,tag team
moves like jaggermaroon 5,feat  christina aguilera
ebony and ivory,paul mccartney  stevie wonder
rush rush,paula abdul
,unknown
happy,pharrell williams
upside down,diana ross
sugar    sugar,the archies
just the way you are,bruno mars
dilemma,nelly feat  kelly rowland
i heard it through the grapevine,marvin gaye
you    re still the one,shania twain
billie jean,michael jackson
hot stuff,donna summer
rockstarpost malone feat  21,savage
gangsta    s paradise,cooliofeat  l v
abracadabra,thesteve miller band
perfect,ed sheeran
you    re so vain,carly simon
play that funky music,wild cherry
say you    say me,lionel richie
my sharona,the knack
all night long  all night,lionel richie
nothing compares 2 usinead o,connor
i swearall 4,one
family affair,mary j  blige
waiting for a girl like you,foreigner
